iter	Passed	Remaining
0	163	163824
1	175	87751
2	188	62638
3	197	49120
4	207	41324
5	219	36403
6	230	32682
7	241	29969
8	253	27950
9	265	26278
10	276	24901
11	288	23743
12	300	22822
13	312	21981
14	324	21288
15	336	20689
16	347	20100
17	357	19504
18	366	18946
19	377	18502
20	389	18138
21	402	17903
22	416	17689
23	433	17613
24	445	17368
25	456	17118
26	469	16907
27	480	16688
28	492	16480
29	504	16300
30	516	16144
31	527	15963
32	539	15798
33	550	15646
34	561	15483
35	572	15332
36	583	15199
37	595	15073
38	607	14968
39	621	14915
40	632	14795
41	644	14702
42	656	14621
43	668	14529
44	680	14444
45	691	14347
46	703	14258
47	714	14166
48	725	14073
49	736	13996
50	747	13915
51	758	13836
52	770	13768
53	782	13704
54	793	13634
55	804	13567
56	816	13500
57	829	13465
58	838	13372
59	846	13265
60	857	13206
61	869	13152
62	880	13102
63	892	13051
64	904	13005
65	914	12935
66	924	12873
67	936	12832
68	948	12796
69	960	12764
70	972	12724
71	984	12684
72	995	12642
73	1006	12594
74	1017	12543
75	1027	12498
76	1040	12473
77	1052	12443
78	1062	12384
79	1073	12350
80	1085	12310
81	1097	12283
82	1108	12245
83	1120	12217
84	1132	12186
85	1144	12160
86	1155	12127
87	1168	12106
88	1179	12076
89	1190	12041
90	1202	12006
91	1213	11977
92	1225	11948
93	1236	11918
94	1248	11888
95	1260	11872
96	1269	11820
97	1283	11809
98	1294	11778
99	1306	11760
100	1318	11731
101	1329	11708
102	1342	11694
103	1356	11686
104	1368	11665
105	1381	11654
106	1395	11644
107	1407	11622
108	1418	11598
109	1430	11574
110	1442	11551
111	1454	11536
112	1470	11540
113	1484	11540
114	1497	11524
115	1507	11491
116	1525	11511
117	1543	11538
118	1567	11606
119	1584	11620
120	1602	11638
121	1618	11647
122	1630	11625
123	1643	11610
124	1656	11595
125	1665	11554
126	1676	11524
127	1687	11495
128	1698	11467
129	1712	11458
130	1723	11432
131	1735	11409
132	1745	11377
133	1758	11364
134	1772	11357
135	1785	11343
136	1797	11326
137	1810	11305
138	1821	11284
139	1832	11255
140	1844	11236
141	1857	11223
142	1868	11200
143	1880	11175
144	1891	11152
145	1902	11126
146	1911	11090
147	1919	11050
148	1929	11022
149	1939	10990
150	1948	10957
151	1959	10931
152	1969	10902
153	1979	10876
154	1990	10854
155	2001	10830
156	2013	10809
157	2023	10783
158	2034	10759
159	2045	10736
160	2056	10715
161	2067	10692
162	2077	10669
163	2093	10669
164	2104	10648
165	2116	10633
166	2129	10622
167	2142	10612
168	2155	10599
169	2166	10577
170	2177	10555
171	2188	10534
172	2199	10514
173	2210	10494
174	2221	10471
175	2233	10456
176	2244	10436
177	2255	10415
178	2265	10391
179	2276	10369
180	2287	10349
181	2299	10335
182	2310	10315
183	2321	10296
184	2332	10277
185	2344	10261
186	2355	10241
187	2366	10219
188	2377	10199
189	2388	10180
190	2399	10162
191	2410	10145
192	2422	10128
193	2433	10110
194	2445	10093
195	2455	10072
196	2465	10049
197	2475	10025
198	2485	10005
199	2496	9986
200	2507	9968
201	2518	9950
202	2529	9932
203	2542	9919
204	2555	9910
205	2566	9891
206	2576	9871
207	2588	9856
208	2599	9838
209	2611	9824
210	2622	9805
211	2632	9786
212	2644	9769
213	2655	9751
214	2666	9735
215	2677	9718
216	2688	9700
217	2699	9683
218	2709	9662
219	2720	9645
220	2731	9629
221	2742	9611
222	2755	9599
223	2765	9581
224	2777	9565
225	2788	9549
226	2800	9534
227	2811	9518
228	2821	9500
229	2833	9485
230	2844	9470
231	2855	9452
232	2865	9433
233	2877	9418
234	2888	9403
235	2899	9386
236	2911	9372
237	2922	9355
238	2932	9338
239	2943	9321
240	2953	9301
241	2962	9278
242	2971	9257
243	2981	9238
244	2992	9220
245	3003	9204
246	3014	9189
247	3025	9174
248	3036	9159
249	3048	9144
250	3059	9130
251	3070	9112
252	3081	9098
253	3093	9085
254	3104	9069
255	3116	9056
256	3126	9039
257	3138	9025
258	3148	9007
259	3161	8998
260	3174	8987
261	3184	8970
262	3195	8954
263	3206	8940
264	3217	8924
265	3228	8908
266	3239	8893
267	3250	8878
268	3262	8865
269	3273	8850
270	3284	8834
271	3295	8819
272	3306	8804
273	3317	8790
274	3328	8775
275	3339	8760
276	3351	8747
277	3362	8732
278	3372	8715
279	3382	8698
280	3390	8675
281	3399	8656
282	3410	8641
283	3421	8626
284	3432	8610
285	3443	8596
286	3454	8582
287	3465	8567
288	3476	8552
289	3486	8535
290	3497	8521
291	3509	8509
292	3521	8496
293	3532	8482
294	3543	8467
295	3555	8455
296	3565	8440
297	3577	8427
298	3588	8413
299	3599	8397
300	3609	8381
301	3617	8360
302	3626	8342
303	3638	8329
